task,method,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
ood,entropy,60000,0.5656860435346502,0.8582993448728286,,,,0.0639688249400479
ood,neg_max_prob,60000,0.5557623810590082,0.848320380580467,,,,0.0366906474820143
ood,neg_target_prob,60000,0.6811765416983683,0.9173085738981314,,,,0.2584732214228617
ood,loss,60000,0.6811765416983682,0.9173085752370947,,,,0.2584732214228617
high_loss,entropy,60000,0.626584150528714,0.5423641870808795,,,,0.12055067837190742
high_loss,neg_max_prob,60000,0.6084083717109846,0.5195208427894,,,,0.11871508379888268
high_loss,neg_target_prob,60000,1.0,1.0,,,,1.0
