eval,holdout_ood_type,method,layer,n_train,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
leave_one_ood_type_out,repetition,ridge_classifier,5.0,149680,19680,0.6844687546482227,0.7069592697481275,,,,0.2637860082304527
leave_one_ood_type_out,repetition,mahalanobis,1.0,149680,19680,0.5189994752673245,0.48693106277202663,,,,0.022222222222222223
leave_one_ood_type_out,repetition,standardized_activation_norm,5.0,149680,19680,0.5237589865635381,0.49777748282373924,,,,0.03806584362139918
leave_one_ood_type_out,word_shuffle,entropy,,150640,19200,0.5536420519741303,0.5286622541411553,,,,0.07846320346320346
leave_one_ood_type_out,word_shuffle,neg_max_prob,,150640,19200,0.5519017737617136,0.5128230684678807,,,,0.05551948051948052
leave_one_ood_type_out,word_shuffle,loss,,150640,19200,0.6290165695248526,0.6003592584397952,,,,0.1288961038961039
leave_one_ood_type_out,word_shuffle,deterministic_logistic,4.0,150640,19200,0.7287860804690625,0.7048417244178353,0.23430719465312308,0.7243585751851991,0.1411471745115603,0.21926406926406927
leave_one_ood_type_out,word_shuffle,laplace_predictive_mean,4.0,150640,19200,0.7286591061214556,0.7046488879129547,0.23427556756780993,0.7238932977552643,0.14095991819089854,0.21785714285714286
leave_one_ood_type_out,word_shuffle,ridge_classifier,4.0,150640,19200,0.7388979782767434,0.7152934323510951,,,,0.23062770562770563
leave_one_ood_type_out,word_shuffle,mahalanobis,2.0,150640,19200,0.5703996233853161,0.5358072558846146,,,,0.08192640692640693
leave_one_ood_type_out,word_shuffle,standardized_activation_norm,1.0,150640,19200,0.5051531667796728,0.47767971931324993,,,,0.039718614718614716
