eval,holdout_ood_type,method,layer,n_train,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
leave_one_ood_type_out,char_shuffle,standardized_activation_norm,4.0,149520,19880,0.22265353247668093,0.3505565495382845,,,,0.004939516129032258
leave_one_ood_type_out,char_shuffle,deterministic_logistic,5.0,149520,19880,0.5897759283100142,0.6074172409758808,0.3323919150124378,1.0921647460413006,0.2730540031250603,0.13830645161290323
leave_one_ood_type_out,char_shuffle,laplace_predictive_mean,5.0,149520,19880,0.5896039348927969,0.6073901680319155,0.3322237971583931,1.0908205095310946,0.2728104773224841,0.13790322580645162
leave_one_ood_type_out,char_shuffle,ridge_classifier,5.0,149520,19880,0.5865454762598783,0.6029161699337614,,,,0.13346774193548386
leave_one_ood_type_out,char_shuffle,mahalanobis,5.0,149520,19880,0.4415782788411712,0.44477619836402404,,,,0.02469758064516129
leave_one_ood_type_out,char_shuffle,standardized_activation_norm,5.0,149520,19880,0.2327777237984195,0.3552443947461823,,,,0.006048387096774193
leave_one_ood_type_out,modern_prose,entropy,,149520,20240,0.5711331073320519,0.5561208910519513,,,,0.06867704280155643
leave_one_ood_type_out,modern_prose,neg_max_prob,,149520,20240,0.5663331975762974,0.5531948975882264,,,,0.05301556420233463
leave_one_ood_type_out,modern_prose,loss,,149520,20240,0.5851109252183833,0.5573888826809432,,,,0.05301556420233463
leave_one_ood_type_out,modern_prose,deterministic_logistic,0.0,149520,20240,0.5505488686262561,0.5617671895004923,0.27149249630631944,0.7453362052170425,0.14138063913637341,0.09017509727626459
leave_one_ood_type_out,modern_prose,laplace_predictive_mean,0.0,149520,20240,0.5504094979138343,0.561610837806211,0.27143069733259406,0.7451101119774745,0.1417554901280577,0.08998054474708171
leave_one_ood_type_out,modern_prose,ridge_classifier,0.0,149520,20240,0.5553814479708719,0.5647524960909425,,,,0.08949416342412451
leave_one_ood_type_out,modern_prose,mahalanobis,0.0,149520,20240,0.47722711859109596,0.4956266027037384,,,,0.036575875486381325
leave_one_ood_type_out,modern_prose,standardized_activation_norm,0.0,149520,20240,0.43915348651415,0.45863298933629637,,,,0.021206225680933853
leave_one_ood_type_out,modern_prose,deterministic_logistic,1.0,149520,20240,0.7883943556326473,0.7726995385090683,0.19470021682568922,0.5751250999602796,0.07771525046191757,0.2698443579766537
leave_one_ood_type_out,modern_prose,laplace_predictive_mean,1.0,149520,20240,0.7884616920991359,0.7726625131292895,0.19460303072556992,0.5748023366115046,0.07729640319405237,0.26848249027237353
leave_one_ood_type_out,modern_prose,ridge_classifier,1.0,149520,20240,0.7978461853249574,0.7822579216647221,,,,0.277431906614786
leave_one_ood_type_out,modern_prose,mahalanobis,1.0,149520,20240,0.5271575406685105,0.5305021635503125,,,,0.0556420233463035
leave_one_ood_type_out,modern_prose,standardized_activation_norm,1.0,149520,20240,0.46401755856109267,0.47045508120938084,,,,0.03229571984435798
leave_one_ood_type_out,modern_prose,deterministic_logistic,2.0,149520,20240,0.8216875673901832,0.8174782475536637,0.17474664395146103,0.5267095593571304,0.04347292280565848,0.3678015564202335
leave_one_ood_type_out,modern_prose,laplace_predictive_mean,2.0,149520,20240,0.8216780741643618,0.8174465083088642,0.17471759432358488,0.5265570912010723,0.04348994876473938,0.36789883268482493
leave_one_ood_type_out,modern_prose,ridge_classifier,2.0,149520,20240,0.8288360055006017,0.8246500833375197,,,,0.3821984435797665
