eval,method,layer,threshold_source,loss_threshold,n_train,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
id_clean_high_loss,entropy,,id_clean_train_q80,2.992763328552246,29840,9960,0.6562951834331697,0.3206603837477253,,,,0.1577319587628866
id_clean_high_loss,neg_max_prob,,id_clean_train_q80,2.992763328552246,29840,9960,0.6383776062421267,0.29797300998968324,,,,0.13402061855670103
id_clean_high_loss,deterministic_logistic,0.0,id_clean_train_q80,2.992763328552246,29840,9960,0.761169241843844,0.49301869840217377,0.1906056243653274,0.562544663051505,0.2311808700737878,0.27319587628865977
id_clean_high_loss,laplace_predictive_mean,0.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7608933529578117,0.4929249111053764,0.19063900192154493,0.5626292113053514,0.23165707734710794,0.27164948453608245
id_clean_high_loss,ridge_classifier,0.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7614352649304574,0.4846718281404576,,,,0.26804123711340205
id_clean_high_loss,mahalanobis,0.0,id_clean_train_q80,2.992763328552246,29840,9960,0.5938839113556316,0.3463408688617487,,,,0.20618556701030927
id_clean_high_loss,standardized_activation_norm,0.0,id_clean_train_q80,2.992763328552246,29840,9960,0.505840681800653,0.2334654608086556,,,,0.11391752577319587
id_clean_high_loss,deterministic_logistic,1.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7734905648250507,0.515124015315453,0.18547864013314377,0.5483652623920362,0.22389085614300128,0.28195876288659794
id_clean_high_loss,laplace_predictive_mean,1.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7732738385993778,0.5152363311577972,0.18549437386299908,0.548449497684335,0.2243719793390015,0.2804123711340206
id_clean_high_loss,ridge_classifier,1.0,id_clean_train_q80,2.992763328552246,29840,9960,0.772492158778312,0.5100101439146627,,,,0.2793814432989691
id_clean_high_loss,mahalanobis,1.0,id_clean_train_q80,2.992763328552246,29840,9960,0.5885878731007532,0.3435642473320607,,,,0.2036082474226804
id_clean_high_loss,standardized_activation_norm,1.0,id_clean_train_q80,2.992763328552246,29840,9960,0.5055448684988559,0.2202638259870346,,,,0.08608247422680412
id_clean_high_loss,deterministic_logistic,2.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7771956706172712,0.5262472798219812,0.1829671393917134,0.5437669336140443,0.22147196476170974,0.2891752577319588
id_clean_high_loss,laplace_predictive_mean,2.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7771573000488471,0.5263145440781078,0.18297638226733068,0.5438549558526912,0.2220472374053889,0.2907216494845361
id_clean_high_loss,ridge_classifier,2.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7767298891945393,0.5178869058395879,,,,0.284020618556701
id_clean_high_loss,mahalanobis,2.0,id_clean_train_q80,2.992763328552246,29840,9960,0.5921068462863459,0.33385720517298906,,,,0.19175257731958764
id_clean_high_loss,standardized_activation_norm,2.0,id_clean_train_q80,2.992763328552246,29840,9960,0.49443090084068186,0.20882011446448825,,,,0.07525773195876288
id_clean_high_loss,deterministic_logistic,3.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7774092474998071,0.5105724865462453,0.1849165633476951,0.5487446835190515,0.22270949141727142,0.2994845360824742
id_clean_high_loss,laplace_predictive_mean,3.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7772576291230686,0.5104177660943702,0.184870081393154,0.5486867981964745,0.22323508148743623,0.29536082474226805
id_clean_high_loss,ridge_classifier,3.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7775109905648252,0.5026111491435502,,,,0.284020618556701
id_clean_high_loss,mahalanobis,3.0,id_clean_train_q80,2.992763328552246,29840,9960,0.5680371236856313,0.31095123395885327,,,,0.1809278350515464
id_clean_high_loss,standardized_activation_norm,3.0,id_clean_train_q80,2.992763328552246,29840,9960,0.4639524899092474,0.1946186054855819,,,,0.06288659793814433
id_clean_high_loss,deterministic_logistic,4.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7788912383988481,0.5170405178895511,0.18418110722475883,0.5455283982573852,0.22074802774678387,0.2948453608247423
id_clean_high_loss,laplace_predictive_mean,4.0,id_clean_train_q80,2.992763328552246,29840,9960,0.778580642466,0.5167605375461971,0.1841346005654632,0.5454536741691131,0.2212327012781944,0.29742268041237113
id_clean_high_loss,ridge_classifier,4.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7797402113273517,0.509261102944393,,,,0.2829896907216495
id_clean_high_loss,mahalanobis,4.0,id_clean_train_q80,2.992763328552246,29840,9960,0.5624088618659536,0.30501318797531196,,,,0.17525773195876287
id_clean_high_loss,standardized_activation_norm,4.0,id_clean_train_q80,2.992763328552246,29840,9960,0.45987714348150244,0.19569601620380556,,,,0.0711340206185567
id_clean_high_loss,deterministic_logistic,5.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7732476154973392,0.4988420235522043,0.1887330019556188,0.555935572338108,0.22486065871619862,0.2788659793814433
id_clean_high_loss,laplace_predictive_mean,5.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7729314600097694,0.49890874970058385,0.1886390425001849,0.5556358332270595,0.2253037036902432,0.2757731958762887
id_clean_high_loss,ridge_classifier,5.0,id_clean_train_q80,2.992763328552246,29840,9960,0.7738542818212201,0.4939225368337967,,,,0.27835051546391754
id_clean_high_loss,mahalanobis,5.0,id_clean_train_q80,2.992763328552246,29840,9960,0.571948415044862,0.3432987794996747,,,,0.19381443298969073
id_clean_high_loss,standardized_activation_norm,5.0,id_clean_train_q80,2.992763328552246,29840,9960,0.4703392292464714,0.20327084824664982,,,,0.08298969072164948
